agegroup	year	sex	n
30-34	2011	Male	19
35-39	2011	Male	17
40-44	2011	Male	31
45-49	2011	Male	43
50-54	2011	Male	64
55-59	2011	Male	116
60-64	2011	Male	210
65-69	2011	Male	367
70-74	2011	Male	347
75-79	2011	Male	338
80-84	2011	Male	299
85-89	2011	Male	248
0-4	2011	Female	0
5-9	2011	Female	0
10-14	2011	Female	2
15-19	2011	Female	8
20-24	2011	Female	3
25-29	2011	Female	7
30-34	2011	Female	12
35-39	2011	Female	19
40-44	2011	Female	27
45-49	2011	Female	43
50-54	2011	Female	69
55-59	2011	Female	103
60-64	2011	Female	197
65-69	2011	Female	256
70-74	2011	Female	348
75-79	2011	Female	360
80-84	2011	Female	365
85-89	2011	Female	313
0-4	2010	Male	0
5-9	2010	Male	0
10-14	2010	Male	1
15-19	2010	Male	2
20-24	2010	Male	2
25-29	2010	Male	4
30-34	2010	Male	6
35-39	2010	Male	14
40-44	2010	Male	33
45-49	2010	Male	46
50-54	2010	Male	60
55-59	2010	Male	112
60-64	2010	Male	213
65-69	2010	Male	280
70-74	2010	Male	363
75-79	2010	Male	383
80-84	2010	Male	315
85-89	2010	Male	220
0-4	2010	Female	0
5-9	2010	Female	0
10-14	2010	Female	0
15-19	2010	Female	5
20-24	2010	Female	3
25-29	2010	Female	9
30-34	2010	Female	8
35-39	2010	Female	10
40-44	2010	Female	22
45-49	2010	Female	31
50-54	2010	Female	62
55-59	2010	Female	125
60-64	2010	Female	188
65-69	2010	Female	235
70-74	2010	Female	346
75-79	2010	Female	364
80-84	2010	Female	379
85-89	2010	Female	334
0-4	2009	Male	0
5-9	2009	Male	0
10-14	2009	Male	0
15-19	2009	Male	5
20-24	2009	Male	2
25-29	2009	Male	6
30-34	2009	Male	7
35-39	2009	Male	28
40-44	2009	Male	19
45-49	2009	Male	37
50-54	2009	Male	63
55-59	2009	Male	133
60-64	2009	Male	207
65-69	2009	Male	306
70-74	2009	Male	363
75-79	2009	Male	369
80-84	2009	Male	293
85-89	2009	Male	210
0-4	2009	Female	0
5-9	2009	Female	0
10-14	2009	Female	2
15-19	2009	Female	5
20-24	2009	Female	6
25-29	2009	Female	6
30-34	2009	Female	8
35-39	2009	Female	15
40-44	2009	Female	22
45-49	2009	Female	49
50-54	2009	Female	61
55-59	2009	Female	99
60-64	2009	Female	181
65-69	2009	Female	231
70-74	2009	Female	326
75-79	2009	Female	387
80-84	2009	Female	355
85-89	2009	Female	325
0-4	2008	Male	0
5-9	2008	Male	0
10-14	2008	Male	0
15-19	2008	Male	2
20-24	2008	Male	2
25-29	2008	Male	2
30-34	2008	Male	8
35-39	2008	Male	25
40-44	2008	Male	17
45-49	2008	Male	29
50-54	2008	Male	65
55-59	2008	Male	127
60-64	2008	Male	238
65-69	2008	Male	280
70-74	2008	Male	332
75-79	2008	Male	362
80-84	2008	Male	287
85-89	2008	Male	208
0-4	2008	Female	0
5-9	2008	Female	0
10-14	2008	Female	0
15-19	2008	Female	3
20-24	2008	Female	3
25-29	2008	Female	2
30-34	2008	Female	8
35-39	2008	Female	23
40-44	2008	Female	31
45-49	2008	Female	37
50-54	2008	Female	72
55-59	2008	Female	114
60-64	2008	Female	158
65-69	2008	Female	262
70-74	2008	Female	329
75-79	2008	Female	357
80-84	2008	Female	352
85-89	2008	Female	316
0-4	2007	Male	1
5-9	2007	Male	0
10-14	2007	Male	0
15-19	2007	Male	5
20-24	2007	Male	2
25-29	2007	Male	5
30-34	2007	Male	7
35-39	2007	Male	12
40-44	2007	Male	25
45-49	2007	Male	32
50-54	2007	Male	58
55-59	2007	Male	112
60-64	2007	Male	247
65-69	2007	Male	270
70-74	2007	Male	313
75-79	2007	Male	383
80-84	2007	Male	270
85-89	2007	Male	208
0-4	2007	Female	0
5-9	2007	Female	1
10-14	2007	Female	1
15-19	2007	Female	6
20-24	2007	Female	5
25-29	2007	Female	4
30-34	2007	Female	7
35-39	2007	Female	15
40-44	2007	Female	25
45-49	2007	Female	40
50-54	2007	Female	70
55-59	2007	Female	112
60-64	2007	Female	199
65-69	2007	Female	251
70-74	2007	Female	335
75-79	2007	Female	362
80-84	2007	Female	373
85-89	2007	Female	290
0-4	2006	Male	0
5-9	2006	Male	1
10-14	2006	Male	0
15-19	2006	Male	2
20-24	2006	Male	3
25-29	2006	Male	6
30-34	2006	Male	13
35-39	2006	Male	21
40-44	2006	Male	18
45-49	2006	Male	39
50-54	2006	Male	73
55-59	2006	Male	119
60-64	2006	Male	169
65-69	2006	Male	243
70-74	2006	Male	316
75-79	2006	Male	336
80-84	2006	Male	328
85-89	2006	Male	196
0-4	2006	Female	0
5-9	2006	Female	1
10-14	2006	Female	1
15-19	2006	Female	3
20-24	2006	Female	3
25-29	2006	Female	6
30-34	2006	Female	7
35-39	2006	Female	6
40-44	2006	Female	23
45-49	2006	Female	34
50-54	2006	Female	72
55-59	2006	Female	129
60-64	2006	Female	184
65-69	2006	Female	235
70-74	2006	Female	267
75-79	2006	Female	340
80-84	2006	Female	327
85-89	2006	Female	330
0-4	2005	Male	0
5-9	2005	Male	1
10-14	2005	Male	0
15-19	2005	Male	0
20-24	2005	Male	6
25-29	2005	Male	4
30-34	2005	Male	8
35-39	2005	Male	13
40-44	2005	Male	14
45-49	2005	Male	31
50-54	2005	Male	50
55-59	2005	Male	112
60-64	2005	Male	177
65-69	2005	Male	266
70-74	2005	Male	265
75-79	2005	Male	309
80-84	2005	Male	305
85-89	2005	Male	187
0-4	2005	Female	0
5-9	2005	Female	0
10-14	2005	Female	3
15-19	2005	Female	4
20-24	2005	Female	1
25-29	2005	Female	3
30-34	2005	Female	12
35-39	2005	Female	17
40-44	2005	Female	11
45-49	2005	Female	32
50-54	2005	Female	74
55-59	2005	Female	111
60-64	2005	Female	186
65-69	2005	Female	229
70-74	2005	Female	288
75-79	2005	Female	361
80-84	2005	Female	367
85-89	2005	Female	304
0-4	2004	Male	0
5-9	2004	Male	0
10-14	2004	Male	0
15-19	2004	Male	0
20-24	2004	Male	7
25-29	2004	Male	3
30-34	2004	Male	12
35-39	2004	Male	13
40-44	2004	Male	23
45-49	2004	Male	36
50-54	2004	Male	79
55-59	2004	Male	102
60-64	2004	Male	169
65-69	2004	Male	233
70-74	2004	Male	294
75-79	2004	Male	336
80-84	2004	Male	324
85-89	2004	Male	187
0-4	2004	Female	0
5-9	2004	Female	0
10-14	2004	Female	2
15-19	2004	Female	2
20-24	2004	Female	9
25-29	2004	Female	5
30-34	2004	Female	12
35-39	2004	Female	11
40-44	2004	Female	23
45-49	2004	Female	27
50-54	2004	Female	58
55-59	2004	Female	108
60-64	2004	Female	142
65-69	2004	Female	209
70-74	2004	Female	279
75-79	2004	Female	364
80-84	2004	Female	355
85-89	2004	Female	271
0-4	2003	Male	0
5-9	2003	Male	0
10-14	2003	Male	3
15-19	2003	Male	0
20-24	2003	Male	5
25-29	2003	Male	4
30-34	2003	Male	8
